1,Childhood issues causes which of the following?,Early age drinking,Alcoholism,Criminal behaviour,Depression ,Early age drinking,drinkingLargeAlpha.PNG
2,Which of the following paths is correct,Early age drinking -> gambling -> money debt,Low self-representation -> binge eating -> negative parenting,Negative parenting -> behavioural issues -> negativity,Low salary -> obesity -> smoking ,Early age drinking -> gambling -> money debt  ,drinkingLargeAlpha.PNG
3,Low self-representation causes which of the following factors ,Criminal behaviour ,Low grades ,Low salary ,Negative parenting ,Low salary,drinkingLargeInDD.PNG
4,Which of the following paths is correct?,Low self-representation -> binge eating -> negative parenting ,Emotional problems -> binge eating -> health issues,Low salary -> negative attitude-> smoking,Drinking friends -> emotional problems -> gambling,Emotional problems -> binge eating -> health issues  ,drinkingLargeInDD.PNG
5,Loneliness causes which of the following factors?,Sedimentary life-style,Criminal behaviour,Alcoholism,Low grades,Sedimentary life-style,drinkingLargeOutDD.PNG
6,Which of the following paths is correct?,Health issues -> loneliness -> jail time,Jail time -> alcoholism -> health issues,Negative parenting  -> childhood issues -> loneliness,Jail time -> loneliness -> behavioural issues,Negative parenting  -> childhood issues -> loneliness,drinkingLargeOutDD.PNG
7,Early age drinking causes which of the following?,Behavioural issues,Alcoholism,Jail time,Depression,Depression,drinkingIssuesLargeOrganic.jpg
8,Which of the following paths is correct?,Sedentary lifestyle -> health issues -> binge eating,Gambling -> early age drinking -> depression,Low grades -> low salary -> low self-representation,Emotional problems -> binge eating -> health issues,Emotional problems -> binge eating -> health issues,drinkingIssuesLargeOrganic.jpg
9,Childhood issues causes which of the following?,Early age drinking,Low self-representation,Depression,Negativity,Early age drinking,drinkingIssuesLargeParallel.jpg
10,Which of the following paths is correct?,Emotional problems -> binge eating -> health issues,Early age drinking -> depression -> gambling,Low self-representation -> low salary -> lack of self-esteem,Behavioural issues -> poor education -> regular drinking,Emotional problems -> binge eating -> health issues,drinkingIssuesLargeParallel.jpg
11,Emotional problems causes which of the following?,Asocial behaviour,Health issues,Drinking parents,Depression,Asocial behaviour,drinkingIssuesLargeHier.jpg
12,Which of the following paths is correct?,Childhood issues -> early age drinking -> gambling,Low self-representation -> low salary -> low grades,Poor education -> criminal behaviour -> negative parenting,Poor education -> criminal behaviour -> negative parenting,Childhood issues -> early age drinking -> gambling,drinkingIssuesLargeHier.jpg
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
